SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2023-2024,35,NEW MEXICO,NM,RIO RANCHO HIGH,RIO RANCHO,01,,NM-083,3500010,NM-083-006,350001000779,3500779,301 LOMA COLORADO DR NE,,,RIO RANCHO,NM,87124,,301 LOMA COLORADO DR NE,,,RIO RANCHO,NM,87124,,(505)896-5600,http://rioranchohigh.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,INDEPENDENCE HIGH SCHOOL,RIO RANCHO,01,,NM-083,3500010,NM-083-013,350001000805,3500805,421 QUANTUM RD NE,,,RIO RANCHO,NM,87124,,421 QUANTUM RD NE,,,RIO RANCHO,NM,87124,,(505)338-4658,http://independence.rrps.net,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,VISTA GRANDE ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-015,350001000864,3500864,7001 CHAYOTE RD NE,,,RIO RANCHO,NM,87144,,7001 CHAYOTE RD NE,,,RIO RANCHO,NM,87144,,(505)771-2366,http://vistagrande.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,RIO RANCHO MIDDLE SCHOOL,RIO RANCHO,01,,NM-083,3500010,NM-083-016,350001000865,3500865,1600 LOMA COLORADO DR NE,,,RIO RANCHO,NM,87144,,1600 LOMA COLORADO DR NE,,,RIO RANCHO,NM,87144,,(505)891-5335,http://rioranchomiddle.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,MAGGIE CORDOVA ELEMENTARY SCHOOL,RIO RANCHO,01,,NM-083,3500010,NM-083-012,350001000952,3500952,1500 VERANDA RD SE,,,RIO RANCHO,NM,87124,,1500 VERANDA RD SE,,,RIO RANCHO,NM,87124,,(505)994-0229,http://mcordova.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,SHINING STARS PRESCHOOL,RIO RANCHO,01,,NM-083,3500010,NM-083-017,350001000953,3500953,2100 LIONEL STREET NE,,,RIO RANCHO,NM,87144,,2100 LIONEL STREET NE,,,RIO RANCHO,NM,87144,,(505)892-7735,http://shiningstars.rrps.net,1,Open,1,Open,05/08/2024,Special Education School,2,No,No,No,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,PK,Prekindergarten,As reported
2023-2024,35,NEW MEXICO,NM,RIO RANCHO CYBER ACADEMY,RIO RANCHO,01,,NM-083,3500010,NM-083-018,350001000954,3500954,1330 JACKIE RD SE,,,RIO RANCHO,NM,87124,,1330 JACKIE RD SE,,,RIO RANCHO,NM,87124,,(505)892-7222,http://cyberacademy.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2023-2024,35,NEW MEXICO,NM,CLEVELAND HIGH SCHOOL,RIO RANCHO,01,,NM-083,3500010,NM-083-011,350001001024,3501024,4800 CLEVELAND HEIGHTS RD NE,,,RIO RANCHO,NM,87144,,4800 CLEVELAND HEIGHTS RD NE,,,RIO RANCHO,NM,87144,,(505)938-0300,http://cleveland.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,CIELO AZUL ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-021,350001001034,3501034,3804 SHILOH RD NE,,,RIO RANCHO,NM,87144,,3804 SHILOH RD NE,,,RIO RANCHO,NM,87144,,(505)338-2320,http://cieloazul.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,SANDIA VISTA ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-020,350001001039,3501039,6800 FRANKLIN RD NE,,,RIO RANCHO,NM,87144,,6800 FRANKLIN RD NE,,,RIO RANCHO,NM,87144,,(505)338-2526,http://sandiavista.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,JOE HARRIS ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-025,350001001159,3501159,2100 10TH STREET SE,,,RIO RANCHO,NM,87124,,2100 10TH STREET SE,,,RIO RANCHO,NM,87124,,(505)896-0706,http://joeharris.rrps.net/,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,SPARRK ONLINE ACADEMY,RIO RANCHO,01,,NM-083,3500010,NM-083-110,350001001161,3501161,2100 10TH STREET SE,,,RIO RANCHO,NM,87124,,2100 10TH STREET SE,,,RIO RANCHO,NM,87124,,(505)896-0706,http://sparrk.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,ENCHANTED HILLS ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-100,350001030011,3530011,5400 OBREGON RD. NE,,,RIO RANCHO,NM,87144,,5400 OBREGON RD NE,,,RIO RANCHO,NM,87144,,(505)891-8526,http://enchanted.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,AZTEC YOUTH ACADEMY,JUVENILE JUSTICE,01,,NM-099,3500011,NM-099-004,350001100973,3500973,300 SAN MATEO NE SUITE 827,,,ALBUQUERQUE,NM,87110,,10015 ROBERT LARNSON,,,LAS CRUCES,NM,88001,,(505)526-5900,,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,FOOTHILL HIGH SCHOOL,JUVENILE JUSTICE,01,,NM-099,3500011,NM-099-003,350001100985,3500985,300 SAN MATEO NE SUITE 827,,,ALBUQUERQUE,NM,87107,,400 EDITH BLVD NE,,,ALBUQUERQUE,NM,87107,,(505)841-2400,,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2023-2024,35,NEW MEXICO,NM,CAMINO NUEVO YOUTH,JUVENILE JUSTICE,01,,NM-099,3500011,NM-099-006,350001101108,3501108,4050 EDITH BLVD NE,,,ALBUQUERQUE,NM,87107,,4050 EDITH BLVD NE,,,ALBUQUERQUE,NM,87107,,(505)841-2400,,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2023-2024,35,NEW MEXICO,NM,ROSWELL CORRECTIONS,NM CORRECTIONS,01,,NM-091,3500012,NM-091-005,350001200970,3500970,578 WEST CHICKASAW RD,,,HAGERMAN,NM,88232,,578 WEST CHICKASAW RD,,,HAGERMAN,NM,88232,,(575)625-3100,http://cd.nm.gov/apd/rcc.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,LAE COUNTY CORRECTIONS,NM CORRECTIONS,01,,NM-091,3500012,NM-091-006,350001200974,3500974,6900 WEST MILLEN DR,,,HOBBS,NM,88240,,6900 WEST MILLEN DR,,,HOBBS,NM,88244,,(575)392-4055,http://cd.nm.gov/apd/lccf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,GUADALUPE COUNTY CORRECTIONS,NM CORRECTIONS,01,,NM-091,3500012,NM-091-007,350001200976,3500976,SOUTH HWY 54,,,SANTA ROSA,NM,88435,,SOUTH HWY 54,,,SANTA ROSA,NM,88435,,(575)472-1001,http://cd.nm.gov/apd/gccf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,PENITENTIARY OF NM-SANTA FE,NM CORRECTIONS,01,,NM-091,3500012,NM-091-001,350001200977,3500977,4331 STATE HIGHWAY 14,,,SANTA FE,NM,87504,,4331 STATE HIGHWAY 14,,,SANTA FE,NM,87504,,(505)473-3200,http://cd.nm.gov/apd/pnm.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,WESTERN NM CORRECTIONS,NM CORRECTIONS,01,,NM-091,3500012,NM-091-008,350001200979,3500979,1700 EAST OLD HWY 66,,,GRANTS,NM,87020,,1700 EAST OLD HWY 66,,,GRANTS,NM,87020,,(505)287-2941,http://cd.nm.gov/apd/wnmcf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,SOUTHERN NM CORRECTIONS,NM CORRECTIONS,01,,NM-091,3500012,NM-091-002,350001200982,3500982,1983 JOE R SILVA BLVD,,,LAS CRUCES,NM,88004,,1983 JOE R SILVA BLVD,,,LAS CRUCES,NM,88004,,(575)523-3200,http://cd.nm.gov/apd/snmcf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,CENTRAL NM CORRECTIONS,NM CORRECTIONS,01,,NM-091,3500012,NM-091-004,350001200986,3500986,1525 MORRIS RD,,,LOS LUNAS,NM,87031,,1525 MORRIS RD,,,LOS LUNAS,NM,87031,,(505)383-3359,http://cd.nm.gov/apd/cnmcf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,NORTHWESTERN NM CORRECTIONS,NM CORRECTIONS,01,,NM-091,3500012,NM-091-003,350001200987,3500987,2111 NORTH LOBO CANYON RD,,,GRANTS,NM,87020,,2111 NORTH LOBO CANYON RD,,,GRANTS,NM,87020,,(505)876-8300,http://cd.nm.gov/apd/nwnmcf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,SPRINGER CORRECTIONAL FACILITY,NM CORRECTIONS,01,,NM-091,3500012,NM-091-009,350001201046,3501046,201 HWY 468,,,SPRINGER,NM,87747,,201 HWY 468,,,SPRINGER,NM,87747,,(575)483-3100,http://cd.nm.gov/apd/swf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,NORTHEASTERN NM CORRECTIONAL FACILITY,NM CORRECTIONS,01,,NM-091,3500012,NM-091-010,350001201049,3501049,185 DR MICHAEL JENKINS RD,,,CLAYTON,NM,87020,,185 DR MICHAEL JENKINS RD,,,CLAYTON,NM,88415,,(575)374-4005,http://cd.nm.gov/apd/nenmdf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,OTERO COUNTY PRISON,NM CORRECTIONS,01,,NM-091,3500012,NM-091-011,350001201152,3501152,10 MCGREGOR RANGE RD,,,CHAPARRAL,NM,88081,,10 MCGREGOR RANGE RD,,,CHAPARRAL,NM,88001,,(575)824-4884,http://cd.nm.gov/apd/ocpf.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,08,12,High,As reported
2023-2024,35,NEW MEXICO,NM,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,01,,NM-094,3500013,NM-094-015,350001300980,3500980,1900 N. WHITE SANDS,,,ALAMOGORDO,NM,88310,,1900 NORTH WHITE SANDS,,,ALAMOGORDO,NM,88310,,(575)437-3505,http://www.nmsbvi.k12.nm.us,1,Open,1,Open,05/08/2024,Special Education School,2,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported
2023-2024,35,NEW MEXICO,NM,NMSBVI ALBUQUERQUE CAMPUS,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,01,,NM-094,3500013,NM-094-020,350001301151,3501151,801 STEPHEN MOODY ST SE,,,ALBUQUERQUE,NM,87123,,801 STEPHEN MOODY ST SE,,,ALBUQUERQUE,NM,87123,,(505)332-6699,http://www.nmsbvi.k12.nm.us,1,Open,1,Open,05/08/2024,Special Education School,2,No,No,No,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,KG,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,NM SCHOOL FOR THE DEAF,NM SCH FOR THE DEAF,01,,NM-093,3500014,NM-093-150,350001400972,3500972,1060 CERRILLOS RD,,,SANTA FE,NM,87505,,1060 CERRILLOS RD,,,SANTA FE,NM,87505,,(505)476-6300,http://www.nmsd.k12.nm.us,1,Open,1,Open,05/08/2024,Special Education School,2,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported
2023-2024,35,NEW MEXICO,NM,SEQUOYAH,SEQUOYAH,01,,NM-097,3500015,NM-097-867,350001500971,3500971,3405 PAN AMERICAN FWY,,,ALBUQUERQUE,NM,87107,,3405 PAN AMERICAN FWY,,,ALBUQUERQUE,NM,87107,,(505)222-0355,http://nmsatc.org,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2023-2024,35,NEW MEXICO,NM,UNM MIMBRES SCHOOL,UNM MIMBRES SCHOOL,01,,NM-095,3500016,NM-095-994,350001600983,3500983,1001 YALE BLVD NE,,,ALBUQUERQUE,NM,87106,,1001 YALE BLVD NE,,,ALBUQUERQUE,NM,87106,,(505)272-2890,http://hsc.unm.edu/health/locations/childrens-psychiatric-center.html,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported
2023-2024,35,NEW MEXICO,NM,ALAMOGORDO HIGH,ALAMOGORDO,01,,NM-046,3500030,NM-046-015,350003000001,3500001,103 CUBA AVE,,,ALAMOGORDO,NM,88310,,103 CUBA AVE,,,ALAMOGORDO,NM,88310,,(575)812-6500,http://www.aps4kids.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,BUENA VISTA ELEMENTARY,ALAMOGORDO,01,,NM-046,3500030,NM-046-028,350003000002,3500002,2600 19TH ST,,,ALAMOGORDO,NM,88310,,2600 19TH ST,,,ALAMOGORDO,NM,88310,,(575)812-5100,http://www.aps4kids.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,CHAPARRAL MIDDLE,ALAMOGORDO,01,,NM-046,3500030,NM-046-033,350003000003,3500003,1401 COLLEGE AVE,,,ALAMOGORDO,NM,88310,,1401 COLLEGE AVE,,,ALAMOGORDO,NM,88310,,(575)812-6300,http://www.aps4kids.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,SUNSET HILLS ELEMENTARY,ALAMOGORDO,01,,NM-046,3500030,NM-046-056,350003000004,3500004,2410 10TH ST,,,ALAMOGORDO,NM,88310,,2410 10TH ST,,,ALAMOGORDO,NM,88310,,(575)812-5200,http://www.aps4kids.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,HIGH ROLLS MOUNTAIN PARK ELEMENTARY,ALAMOGORDO,01,,NM-046,3500030,NM-046-057,350003000005,3500005,23 KARR CANYON RD,,,HIGH ROLLS,NM,88325,,23 KARR CANYON,,,HIGH ROLLS,NM,88325,,(575)812-5275,http://www.aps4kids.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,HOLLOMAN ELEMENTARY,ALAMOGORDO,01,,NM-046,3500030,NM-046-058,350003000006,3500006,750 ARNOLD AVE,,,HOLLOMAN AFB,NM,88330,,750 ARNOLD,,,HOLLOMAN AFB,NM,88330,,(575)812-6100,http://www.aps4kids.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,HOLLOMAN MIDDLE,ALAMOGORDO,01,,NM-046,3500030,NM-046-037,350003000007,3500007,381 1ST ST,,,HOLLOMAN AFB,NM,88330,,381 1ST ST,,,HOLLOMAN AFB,NM,88330,,(575)812-6200,http://www.aps4kids.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,LA LUZ ELEMENTARY,ALAMOGORDO,01,,NM-046,3500030,NM-046-072,350003000008,3500008,99 ALAMO,,,LA LUZ,NM,88337,,99 ALAMO,,,LA LUZ,NM,88337,,(575)812-5300,http://www.aps4kids.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
