Authorizer,Charter School,Contract Term,Enrollment Cap,Grades Authorized,Grades Served 2025-26,Phone Number,Street Address,Administrator (SY25-26 changes highlighted),Administrator Email,2nd Administrator Email
Public Education Commission,Amy Biehl High School ,2025-2030,325,9-12,9-12,(505)299-9409,"123 4th Street SW, Albuquerque, NM 87102",Dr. Stephanie Becker ,sbecker@abhs.k12.nm.us,
Taos Municipal Schools ,Anansi Charter School,2021-2026,,K-8,K-8,(575) 776-2256,"57 State Highway 230 El Prado, NM 87529",Michele Hunt,mhunt@anansi.acstaos.org,
Albuquerque Public Schools,Archer Academy of Accelerated Learning,2025-2030,250,7-12,7-12,(505) 342-5959,"4012 4th Street NW Albuquerque, NM 87107",Anna Phillips,aphillips@lospuentes.org,
Public Education Commission,(The) ASK Academy ,2025-2030,850,6-12,6-12,(505) 891-0757,"4550 Sundt Road NE Rio Rancho, NM 87124",Edward Garcia,egarcia@theaskacademy.org,
Public Education Commission,Cesar Chavez Community School,2024-2029,300,9-12,9-12,(505) 877-0558,"1325 Palomas Drive SE Albuquerque, NM 87108",Tani Arness,tarness@cesarchavezcharter.net,
Albuquerque Public Schools,Christine Duncan Heritage Academy,2021-2026,,PK-8,PK-8,(505) 839-4971,"1900 Atrisco Drive NW Albuquerque, NM 87120",Dr. Jesus Moncada,jmoncada@christineduncan.org,
Albuquerque Public Schools,Cien Aguas International School,2022-2027,,K-8,K-8,(505) 255-0001,"2501 Buena Vista Drive SE Albuquerque, NM 87106",Velia Cortalano,vcortalano@cienaguas.org,
Public Education Commission,Collins Lake Outdoor School (Will open in SY 2026-27),2026-2031,35,K-4,,(575)-387-5089,"254 Encinal Rd. Cleveland, NM 87715",Maggie Dodd White Eagle ,mdwhiteeagle@gmail.com,
Albuquerque Public Schools,Coral Community Charter School,2019-2024,,PK-8,PK-8,(505) 292-6725,"4401 Silver Ave SE Albuquerque, NM 87108",Lori Bachman,lbachman@coralcharter.com,
Albuquerque Public Schools,Corrales International School,2023-2028,,K-12,K-12,(505) 344-9733,"5500 Wilshire Ave NE Albuquerque, NM 87113",Mark Tolley,mtolley@corralesis.org,
Public Education Commission,Cottonwood Classical Preparatory School,2023-2028,1500,6-12,6-12,(505) 998-1021,"7801 Jefferson Street NE Albuquerque, NM 87109",John Binnert,john.binnert@cottonwoodclassical.org,
Socorro Consolidated Schools,Cottonwood Valley Charter School,2025-2030,,K-8,K-8,(575) 838-2026,"201 Neel Street Socorro, NM 87801",Mark Forman,mforman@cottonwoodvalley.org,
Deming Public Schools,Deming Cesar Chavez Charter High School,2024-2029,,9-12,9-12,(575) 544-8404,"315 East 1st Street Deming, NM 88030",Marlene Padron,mpadron@cesarchavezcharterhs.com,
Albuquerque Public Schools,Digital Arts and Technology Academy,2025-2030,400,7-12,7-12,(505) 341-0888,"1011 Lamberton Place NE Albuquerque, NM 87107",Dr. Holly Gurule ,holly.gurule@datacharter.org,
Public Education Commission,Dream Diné Charter School,2024-2029,105,K-5,K-5,(505) 368-2500,"PO BOX 4386 Shiprock, NM 87420",Nadine Chatto,nadine@dreamdine.org,
Public Education Commission,Dził Ditł’ooí School of Empowerment Action and Perseverance (DEAP),2025-2030,180,6-12,6-12,(505) 777-2053,"PO Box 156 Navajo, NM 87328",Dr. Morgan Wilson,mwilson@deapschool.org,
Albuquerque Public Schools,East Mountain,2025-2030,800,6-12,6-12,(505) 281-7400,"25 La Madera Road Sandia Park, NM 87047",Trey Smith,tsmith@eastmountainhigh.net,
Albuquerque Public Schools,El Camino Real Academy,2023-2028,,K-12,K-12,(505) 314-2212,"3713 Isleta Blvd. SW Albuquerque, NM 87105",Christopher Villarreal ,christopher.villarreal@ecracharter.org,
Public Education Commission,Equip Academy of New Mexico (Will open in SY 2026-27),2026-2031,450,K-5,,(505) 677-0853,"1500 N Renaissance Blvd NE Ste C, Albuquerque, NM 87107",Katherine Duran,kduran@equipnm.org,
Public Education Commission,Estancia Valley Classical Academy,2022-2027,780,K-12,K-12,(505) 431-3822,"110 Hwy 344 Edgewood, NM 87015",Joshua McCleave (Interim) ,jmccleave@theevca.com,
Public Education Commission,Explore Academy Albuquerque,2024-2029,3750,K-5,,(505) 437-3800,"5100 Masthead NE Albuquerque, NM 87110",Jacob Kolander,jake.kolander@explore.academy,
,,,,6-12,,(505) 305-5300,"6600 Gulton Ct NE Albuquerque, NM 87109",,,
Public Education Commission,Explore Academy – Las Cruces,2021-2026,1200,K-8,K-8,(575) 888-4476,"850 N. Telshor Blvd, Las Cruces, NM 88011",Alexis Black,alexis.black@ealascruces.com,
Public Education Commission,Explore Academy – Rio Rancho,2023-2028,1200,K-12,K-8,(505) 388-2783,"6090 Zenith Court NE, Rio Rancho, NM 87144",Jaclyn Bogue,jaclyn.bogue@explore.academy,
Albuquerque Public Schools,Gilbert L. Sena Charter High School,2019-2024,,9-12,9-12,(505) 237-2374,"69 Hotel Circle NE Albuquerque, NM 87123",Jenn Prye,jprye@senahigh.com,
Albuquerque Public Schools,Gordon Bernell Charter School,2022-2027,,9-12,9-12,(505) 916-8625,"2821 4th Street NW Albuquerque, NM 87107",Beth Dorado,beth@gordonbernell.org,
Public Education Commission,(The) GREAT Academy,2022-2027,360,6-12,6-12,(505) 792-0306,"6001-A San Mateo Blvd. NE Albuquerque, NM 87109",Jasper Matthews,jmatthews@thegreatacademy.org,
Albuquerque Public Schools,Health Leadership High School,2021-2026,,9-12,9-12,(505) 750-4547,"6401 Jefferson Street NE Albuquerque, NM 87109",Leticia Archuleta,leticia@healthleadershiphighschool.org,
Public Education Commission,Horizon Academy West ,2023-2028,521,K-5,K-5,(505) 998-0459,"3021 Todos Santos NW Albuquerque, NM 87120",Carissa L. Cantrell,ccantrell@hawest.net,
Public Education Commission,Hózhó Academy,2023-2028,1200,PK-12,PK-12,(505) 722-8922,"306 NM Hwy 564 Gallup, NM  87301",Juliane Hillock,principal@hozhoacademy.org,
Public Education Commission,Inspira STEAM Academy (Will open in SY 2026-27),2026-2031,240,K-5 ,,(575) 323-1724,,Julia Rivera Tapia ,jrivera-tapia@inspirasteamacademy.org,
Albuquerque Public Schools,(The) International School at Mesa del Sol,2022-2027,,PK-12,PK-12,(505) 508-3295,"2000 Bobby Foster Rd. Albuquerque, NM 87106",Amanda Castaneda,acastaneda@tisnm.org ,
Public Education Commission,J. Paul Taylor Academy,2021-2026,200,K-8,K-8,(575) 652-4006,"500 N. Reymond St., Las Cruces, NM 88005",Eric Ahner,eric.ahner@jpaultayloracademy.org,
Carlsbad Municipal Schools,Jefferson Montessori Academy,2022-2027,,K-12,K-12,(575) 234-1703,"500 West Church Street Carlsbad, NM 88220",Dr. Katie Appling,drkatie@jmacarlsbad.com,
Albuquerque Public Schools,La Academia de Esperanza,2025-2028,350,9-12,9-12,(505) 764-5550,"7311 Glenrio Road NW Albuquerque, New Mexico 87121",Adam Giron,mrg@ladecharter.org,
Public Education Commission,La Academia Dolores Huerta,2021-2026,300,6-8,6-8,(575) 526-2984,"402 W. Court St., Las Cruces NM 88005",Sylvy Galvan de Lucero,slucero@ladh.org,
Public Education Commission,(The) MASTERS Program ,2025-2030,280,9-12,9-12,(505) 428-7320,"SFCC LL320 6401 Richards Ave Santa Fe, NM 87508",Tina Morris (Interim) ,tmorris@tmpsantafe.org,
Albuquerque Public Schools,Mark Armijo Academy,2021-2026,,9-12,9-12,(505) 873-7758,"6800 Gonzales Road SW Albuquerque, NM 87121",Shawn Morris,shawn@markarmijo.com,
Public Education Commission,McCurdy Charter School,2022-2027,584,K-12,K-12,(505) 484-2031,"515 Calle Arbolera Española, NM 87532",Sarah Tario,stario@mcsk12nm.org,
Public Education Commission,Middle College High School,2024-2029,200,9-12,9-12,(505) 722-9945,"604 Gurley Ave Gallup, NM 87301",Dr. Robert Hunter,rhunter@mchsgallup.com,
Public Education Commission,Mission Achievement and Success Charter School 1.0,2022-2027,1560,K-12,K-12,(505) 242-3118,"1718 Yale Blvd. SE Albuquerque, NM 87106",JoAnn Mitchell,joann.mitchell@mascharterschool.com,
Public Education Commission,Mission Achievement and Success Charter School 2.0,2022-2027,1560,K-12,K-8, (505) 242-3118,"1255 Old Coors Drive SW Albuquerque, NM 87121",JoAnn Mitchell,joann.mitchell@mascharterschool.com,
Public Education Commission,Monte del Sol Charter School,2025-2030,380,7-12,7-12,(505) 982-5225,"4157 Walking Rain Road Santa Fe, NM 87507",Dr. Zoë Nelsen,znelsen@montedelsol.org,
Public Education Commission,The Montessori Academy,2025-2030,800,PK-12,PK-K ,(505) 796-0149,"5801 Carmel Ave NE Albuquerque, NM 87113",Piper Curry,pcurry@tmesnm.com,
,,,,,PK-5,(505) 796-0149,"1730 Montaño Blvd. NW Albuquerque, NM 87107",,,
,,,,,6-8,(505) 796-0150,"200 El Pueblo Rd NW Los Ranchos de Albuquerque, NM 87107",,,
Albuquerque Public Schools,Montessori of the Rio Grande Charter School,2023-2028,,K-5,K-5,(505) 842-5993,"1650 Garbaldon Drive NW Albuquerque, NM 87104",Deborah Henwood,msdeborah@mrgcharter.org,
Cimarron Municipal Schools,Moreno Valley Preparatory,2022-2027,,9-12,9-12,(575) 377-3100,"56 Camino Grande Angel Fire, NM 87710",Tammy Dunn,tdunn@morenovalleyprep.org,
Aztec Municipal Schools,Mosaic Academy,2024-2029,,K-8,K-8,(505) 334-6364,"721 S Main Ave, Aztec, NM 87410",Amanda Knight,knighta@mosaic.k12.nm.us,
Albuquerque Public Schools,Mountain Mahogany Community School,2025-2030,240,K-8,K-8,(505) 341-1424,"5014 4th Street NW Albuquerque, NM 87107",Lori Webster,l.webster@mountainmahogany.org ,
Albuquerque Public Schools,Native American Community Academy,2021-2026,,K-12,K-12,(505) 266-0992,"1000 Indian School Road NW Albuquerque, NM 87104",Zane Rosette,rosette@nacaschool.org,
Public Education Commission,New America School – Las Cruces,2022-2027,450,9-12,9-12,(575) 527-9085,"207 S. Main Street Las Cruces, NM 88001",Margarita Porter,mporter@lcnas.org,
Albuquerque Public Schools,New America School ,2022-2027,,9-12,9-12,(505) 222-4360,"1734 Isleta Blvd. SW Albuquerque, NM 87105",Ileana Gallegos,igallegos@nasnm.org,
Public Education Commission,New Mexico Academy for the Media Arts,2023-2028,360,6-12,6-12,(505) 243-1957,"4401 Central Ave. NE, Bldg. 2 Albuquerque, NM 87108",Chris Jones,cjones@nmmediaarts.org,
Public Education Commission,New Mexico Connections Academy,2023-2028,2000,4-12,4-12,(505) 428-2130,"130 Siringo Road, Santa Fe, NM 87505",Dr. Sandy Beery,sbeery@nmca.connectionsacademy.org,
Albuquerque Public Schools,New Mexico International School,2021-2026,,K-8,K-8,(505) 503-7670,"7215 Montgomery Blvd. NE Albuquerque, NM 87109",Todd Knouse,headofschool@nmis.org,
Public Education Commission,New Mexico School for the Arts,2024-2029,500,9-12,9-12,(505) 310-4194,"500 Montezuma Avenue Santa Fe, NM  87501",Eric Crites,ecrites@nmschoolforthearts.org,
Public Education Commission,North Valley Academy Charter School,2021-2026,534,PK-8,PK-8,(505) 998-0501,"7939 4th Street NW Albuquerque, NM 87114",Julie Geldmacher,jgeldmacher@nvanm.org,
Public Education Commission,Northpoint Charter School,2024-2029,246,9-12,9-12,(505) 296-7677,"10301 Candelaria NE Albuquerque, NM 87112",Lisa Mora,lmora@northpointcharter.com,
Public Education Commission,Pecos Cyber Academy,2022-2027,2500,K-12,K-12,(505) 886-3900,"1841 Old, U.S. Rt. 66, Edgewood, NM 87015",Dr. Kim Hite-Pope,khitepope@pecosca.us,
Albuquerque Public Schools,Public Academy for Performing Arts,2025-2030,1000,6-12,6-12,(505) 830-3128,"11800 Princess Jeanne Ave NE Albuquerque, NM 87112",Tamara Lopez ,tlopez@paparts.org,
Public Education Commission,Raíces del Saber Xinachtli Community School,2025-2030,220,K-5,K-5,(575) 571-2177,"2211 N Valley Drive Las Cruces, NM 88007",Dr. Hector Girón,hgironadmin@raicesdelsaber.org,
Public Education Commission,Red River Valley Charter School,2021-2026,100,PK-8,PK-8,(575) 754-6117,"500 E. High Street Red River, NM 87558",Kimberly Ritterhouse,kimberly@redrivervalleycs.com,
Public Education Commission,Renaissance Academy Charter School,2024-2029,500,4-8,4-8,(505) 296-7677,"10301 Candelaria Road NE Albuquerque, NM 87112",Jonas Cossey,jcossey@racs-abq.com,
West Las Vegas Public Schools,Rio Gallinas School of Ecology and the Arts,2022-2027,,K-8,K-8,(505) 454-8687,"2730 Romero Street Las Vegas, NM 87701",Aja Curry,director@riogallinasschool.org,
Public Education Commission,Rio Grande Academy of Fine Arts,2022-2027,1144,K-12,"K-4, 6-8",(505) 681-3536,"1401 Old Coors Dr SW, Albuquerque, NM 87121",Jordan Franco; Michele Platis,jordan.franco@riograndeacademyoffinearts.com,michele.platis@riograndeacademyoffinearts.com
Albuquerque Public Schools,Robert F. Kennedy Charter School,2021-2026,,6-12,6-12,(505) 243-1118,"4300 Blake Road SW Albuquerque, NM 87106",Robert Baade ,RFKBaade@gmail.com,
Public Education Commission,Roots and Wings Community School,2021-2026,60,K-8,K-8,(575) 586-2076,"35 La Lama Road Questa, NM 87556",Alice Allen,aallen@rwcs.org,
Public Education Commission,Sacramento School of Engineering and Science,2025-2030,160,9-12,9-11,(575) 888-3421,"7035 US-70 Alamogordo, NM 88310",Amanda Allen ,director@charter-sses.org,
Public Education Commission,San Diego Riverside Charter School,2024-2027,130,K-8,K-8,(575) 834-7419,"8501 Highway 4 Jemez Pueblo, NM 87024",Joe Dan Lovato ,Joedan.lovato@sdrcs.k12.nm.us,
Public Education Commission,Sandoval Academy of Bilingual Education,2025-2030,360,PK-8,PK-8,(505) 771-0555,"601 Quantum Rd NE Rio Rancho, NM 87124",Jackie Rodriguez,jrodriguez@nmsabe.org,
Public Education Commission,School of Dreams Academy,2024-2029,625,PK-12,PK-12,(505) 866-7632,"906 Juan Perea Road Los Lunas, NM 87031",Michael Ogas,mogas@sodacharter.com,
Public Education Commission,Sendero School of Academics and Career Preparation,2025-2030,352,9-12,9-12,(575) 527-5916,"1405 S. Solano Drive Las Cruces, NM 88001",Caz Martinez,caz@senderoprep.com,
Roswell Independent Schools,Sidney Gutierrez School,2024-2029,196,K-8,K-8,(575) 627-2641,"69 Gail Harris Blvd. Roswell, NM 88203",Shannon Aguilar,saguilar@sgms.us,
Albuquerque Public Schools,Siembra Leadership High School,2021-2026,,9-12,9-12,(505) 243-3308,"524 Central Ave SE Albuquerque, NM 87102",Edward Ramirez ,e.ramirez@siembraabq.org,
Public Education Commission,Six Directions Indigenous School,2021-2026,300,6-12,6-12,(505) 863-1900,"2055 NM-602 Gallup, NM 87301",Dr. Roselyn Carroll-Trujillo ,Roselyn@SixDirectionsSchool.org ,
Public Education Commission,Solare Collegiate Charter School,2024-2029,620,K-8,K-8,(505) 917-6442,"8801 Gibson Blvd SW Albuquerque, NM  87121",Rachael Sewards,rsewards@solarecollegiate.org,
Albuquerque Public Schools,South Valley Academy,2025-2030,650,6-12,6-12,(505) 452-3132,"3426 Blake SW Albuquerque, NM 87105",Abelardo Batista,abatista@southvalleyacademy.org,
Public Education Commission,South Valley Preparatory School,2025-2030,210,6-8,6-8,(505) 222-5642,"2551 Karsten Ct. SE Albuquerque, NM 87102",Crystal Avalos,crystal.avalos@southvalleyprep.org,
Public Education Commission,Sun Mountain Community School,2025-2030,208,K-8,"K-4, 6",(505) 913-7477,"26 Puesta de Sol Santa Fe, NM 87508",Jonathan Davis,jonathan.davis@sunmountaincommunityschool.org,
Public Education Commission,Taos Academy,2024-2029,300,5-12,5-12,(575) 751-3109,"110 Paseo del Canon W Taos, NM 87571",Dr. Traci Filiss,tfiliss@taosacademy.org,
Taos Municipal Schools,Taos Charter School,2025-2030,,K-8,K-8,(575) 751-7222,"1303 Paseo del Canon East Taos, NM 87571",Jeremy Jones,jjones@taoscharterschool.org,
Public Education Commission,Taos Integrated School of the Arts,2025-2030,216,K-8,K-8,(575) 758-7755,"118 Toalne Lane Taos, NM 87571",Rich Greywolf,rgreywolf@tisataos.org,
Public Education Commission,Taos International School,2021-2026,360,K-8,K-8,(575) 751-7115,"118 Este Es Road Taos, NM 87571",Nadine Vigil,director@taosinternational.org,
Albuquerque Public Schools,Technology Leadership High School,2021-2026,,9-12,9-12,(505) 338-2266,"10500 Research Road SE Albuquerque, NM 87123",Natalie Sather (Interim),sather@techabq.org,
Public Education Commission,THRIVE Community School,2022-2027,633,K-8,K-8,(505) 982-1990,"7300 Old Santa Fe Trail, Santa Fe, NM 87505",Sean Duncan,seanduncan@thriveschoolsf.org,
Public Education Commission,"Tierra Adentro of New Mexico: The School of Academics, Arts, and Artesanía",2025-2030,550,6-12,6-12,(505) 967-4720,"1781 Bellamah Avenue, NW Albuquerque, NM 87104",Genevieve Lopez,glopez@tierraadentronm.org,
Public Education Commission,Tierra Encantada Charter School,2025-2030,400,7-12,7-12,(505) 983-3337,"4601 B Mission Bend Santa Fe, NM 87507",Paul Abundez (Interim) ,pabundez@gotecs.org,
Public Education Commission,Turquoise Trail Charter School ,2025-2030,840,PK-8,PK-8,(505) 986-4000,"13A San Marcos Loop Santa Fe, NM 87508",Stephanie Behning,sbehning@ttschool.org,
Public Education Commission,Vista Grande High School,2022-2027,200,6-12,9-12,(575) 758-5100,"213 Paseo del Canon East Taos, NM 87571",James Smith ,jsmith@vghs.org,
Albuquerque Public Schools,Voz Collegiate Preparatory Charter School,2020-2026,243,6-12,6-10,(575) 605-3527,"2000 Randolph Rd SE, Albuquerque, NM 87106",Isaac Rivas-Savell,irivassavell@vozcollegiateprep.org,
Public Education Commission,Walatowa High Charter School,2022-2027,150,9-12,9-12,(575) 834-0443,"147 Bear Head Canyon Jemez Pueblo, NM 87024",Dr. Arrow Wilkinson,awilkinson@walatowahcs.org,
